,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
8682|KMT2A,0.003112451341252769,Mus musculus,KMT2A,not sure,,Leukemic Blast Cell,Bone Marrow,1.0,KMT2A
105|CEBPA,0.0031542502437113622,Mus musculus,CEBPA,tf,3T3-L1,Preadipocyte,Adipose,1.0,CEBPA
37889|IRF1,0.003164985357313577,Mus musculus,IRF1,tf,,Dendritic Cell,Bone Marrow,1.0,IRF1
58027|NEUROD1,0.0031732655002823986,Mus musculus,NEUROD1,tf,R1,Embryonic Stem Cell,Embryo,1.0,NEUROD1
8848|CBFB,0.0031765830124264017,Mus musculus,CBFB,predicted transcription factor,,Thymocyte,Thymus,1.0,CBFB
51235|NLRC5,0.0031765830124264017,Mus musculus,NLRC5,tf,,T Lymphocyte,,1.0,NLRC5
5919|TBX20,0.003203235676622341,Mus musculus,TBX20,tf,,Cardiomyocyte,Heart,1.0,TBX20
2859|MED12,0.0032385226054132818,Mus musculus,MED12,predicted transcription factor,V6.5,Embryonic Stem Cell,Embryo,1.0,MED12
58970|MBD1,0.0032698980088777968,Mus musculus,MBD1,cr,3T3-L1,Preadipocyte,Adipose,1.0,MBD1
37787|CRY2,0.0032903955310799172,Mus musculus,CRY2,not sure,,Epithelium,Liver,0.0,CRY2
51862|DNMT3A,0.003295537932568349,Mus musculus,DNMT3A,cr,,Embryonic Stem Cell,,1.0,DNMT3A
36701|IKZF1,0.003348230709570494,Mus musculus,IKZF1,tf,,,Thymus,1.0,IKZF1
37883|HIF1A,0.003363049911544753,Mus musculus,HIF1A,predicted chromatin regulator,,Dendritic Cell,Bone Marrow,1.0,HIF1A
41588|TFAP2A,0.0033647972173973645,Mus musculus,TFAP2A,predicted transcription factor,,Epithelium,Prostate,1.0,TFAP2A
57703|TET3,0.0033867074934171753,Mus musculus,TET3,cr,J1,Embryonic Stem Cell,Embryo,1.0,TET3
58830|SUMO1,0.003388465842485199,Mus musculus,SUMO1,other,,Dendritic Cell,Bone Marrow,1.0,SUMO1
39605|REL,0.003393745813462433,Mus musculus,REL,tf,,Dendritic Cell,Bone Marrow,1.0,REL
8860|STAG1,0.003395507446148073,Mus musculus,STAG1,not sure,,Fibroblast,Embryo,1.0,STAG1
44168|ELK3,0.003424693270085683,Mus musculus,ELK3,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK3
4415|PAXIP1,0.003433581853029133,Mus musculus,PAXIP1,predicted transcription factor,,B Lymphocyte,Spleen,1.0,PAXIP1
4504|RAD51,0.003441599293600917,Mus musculus,RAD51,predicted chromatin regulator,,,Testis,1.0,RAD51
50212|GTF2B,0.003447846704349256,Mus musculus,GTF2B,tf,,,Heart,0.0,GTF2B
33372|LHX2,0.003496384481918888,Mus musculus,LHX2,tf,,,Mouse Back Skin,1.0,LHX2
33688|FAIRE,0.0034981939049531802,Mus musculus,FAIRE,other,,Epithelium,,0.0,FAIRE
51958|NFATC2,0.0035217930522040103,Mus musculus,NFATC2,tf,,T Lymphocyte,,0.0,NFATC2
3295|GTF2F1,0.00352908303483221,Mus musculus,GTF2F1,tf,,T Lymphocyte,Blood,1.0,GTF2F1
44360|ING1,0.003529995234729854,Mus musculus,ING1,predicted chromatin regulator,C2C12,Myoblast,Muscle,1.0,ING1
35313|TNNI2,0.0035602168556409398,Mus musculus,TNNI2,other,,Osteoblast,,1.0,TNNI2
35249|MBD2,0.0035611362775553493,Mus musculus,MBD2,cr,,Neural Progenitor Cell,Embryo,0.0,MBD2
4507|RAG2,0.00357310817516816,Mus musculus,RAG2,cr,,Thymocyte,Thymus,1.0,RAG2
51241|RFX5,0.0035786458421968315,Mus musculus,RFX5,tf,,T Lymphocyte,,1.0,RFX5
5221|LYL1,0.0035841912120241452,Mus musculus,LYL1,predicted transcription factor,HPC-7,Haematopoietic Progenitor Cell,Bone Marrow,1.0,LYL1
5979|HOXC9,0.0035851161898599365,Mus musculus,HOXC9,tf,Ainv15,Neural Progenitor Cell,Embryo,0.0,HOXC9
39616|RELB,0.003594377759894989,Mus musculus,RELB,tf,,Dendritic Cell,Bone Marrow,1.0,RELB
8336|SOX11,0.003594377759894989,Mus musculus,SOX11,tf,,Neural Progenitor Cell,Embryo,0.0,SOX11
9939|AHR,0.0036111027176018,Mus musculus,AHR,tf,,Dendritic Cell,Bone Marrow,0.0,AHR
