,0
MC00359|TP53,0.01996349957037178
M00983|MAF,0.02061790581545198
MS00214|TBX4,0.021026344386587386
MC00204|Stat5b,0.021776309683903084
MS00394|Foxj3,0.021818726876459943
M00420|MEIS1::HOXA9,0.022066865964098896
MS00807|MSC,0.024470109928745338
MC00321|JUN,0.02472042697253369
MC00305|Sox6,0.02475602343701688
MS00704|Rarg,0.024767933604827517
M01010|HMGA1,0.024865784891904923
MC00111|Bcl6,0.025118620632038433
MS00271|NEUROD2,0.027316127823107154
MS00464|GSC,0.027397555547617206
MC00505|POLR2B,0.028616880572351296
MC00524|Nr1d1,0.028694641957374395
MS00073|IRF9,0.030098679339073384
M01734|NFATC4,0.03351970407342564
M01650|NR2E3,0.03379257910608898
UP00107|Nkx2-4,0.0340267746222655
MS00091|PKNOX1,0.03559051690860078
MS00626|VSX1,0.037910424133735965
MS00769|SOX7,0.03942837161728735
M01132|SF1,0.04027998378376019
MS00084|MEIS3,0.041406918368548984
MC00458|TAL1,0.041699070621224014
MS00480|HOXA10,0.04232404965579283
MS00094|TGIF1,0.04265944359775089
UP00119|Nkx2-9,0.04269742571399074
MS00202|TBX20,0.0430900899751545
MS00419|BSX,0.04314070673899578
UP00243|Isx,0.043334698310837166
MC00456|JUND,0.043455145496314525
MS00459|GBX1,0.04352418058610085
MA0152|NFATC2,0.04457048933486737
MS00254|FIGLA,0.04527210011073356
MS00750|SOX15,0.04536296012806342
MS00040|SPIC,0.04761780522823572
MS00497|HOXC11,0.04795689163815761
MS00080|SMAD3,0.048473507140576175
MC00248|USF1,0.04860281127418024
MS00213|TBX2,0.05075603094385092
MS00092|PKNOX2,0.05148541758987624
UP00052|Osr2,0.05166540512548358
MS00103|MYBL2,0.053591094307704396
UP00170|Isl2,0.05478078281469068
MS00744|SOX10,0.055196443477574596
MS00418|BARX1,0.05845053351815446
M00105|CUX1,0.05962713132771571
M00712|MYOG,0.0609137048239514
M01305|TEF,0.06109862820222167
M00678|ETV7,0.061833994259181665
M00220|SREBF1,0.0633554591328842
MS00318|Hlf,0.06499875631768101
MS00224|TEAD4,0.06505748424533894
MC00151|SPI1,0.06526340410317133
UP00132|Evx2,0.06786684281220914
MS00460|GBX2,0.06919901052138755
M00515|PPARG::RXRA,0.0693207312522152
MC00154|Jund,0.07321000940475546
M00495|BACH1,0.0740519246142934
