,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
52226|E4F1,0.366492882653778,Mus musculus,E4F1,tf,,Embryonic Fibroblast,Embryo,1.0,E4F1
35619|GRIP1,0.3691078640740513,Mus musculus,GRIP1,not sure,,Macrophage,Bone Marrow,1.0,GRIP1
52238|RUVBL1,0.3708772672219833,Mus musculus,RUVBL1,cr,,Embryonic Stem Cell,,0.0,RUVBL1
49710|FOXL2,0.37401442681092,Mus musculus,FOXL2,tf,,Follicular  cell,Ovary,1.0,FOXL2
59458|AFF3,0.3776735907869219,Mus musculus,AFF3,tf,,Embryonic Fibroblast,,1.0,AFF3
5919|TBX20,0.3808972795653433,Mus musculus,TBX20,tf,,Cardiomyocyte,Heart,1.0,TBX20
33909|GLI1,0.3878180287030226,Mus musculus,GLI1,tf,,,Embryo,1.0,GLI1
44167|ELK3,0.4003711980121569,Mus musculus,ELK3,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK3
48582|HSF2,0.4046258321287643,Mus musculus,HSF2,tf,,Spermatocyte,Testis,0.0,HSF2
55268|E2F3,0.4110989444530227,Mus musculus,E2F3,tf,,,intestinal villus,1.0,E2F3
44788|ATF7,0.41285267663514097,Mus musculus,ATF7,tf,3T3-L1,Preadipocyte,Adipose,1.0,ATF7
53798|BATF3,0.4182297674824005,Mus musculus,BATF3,tf,,Dendritic Cell,,1.0,BATF3
38633|RBBP5,0.4190746483507916,Mus musculus,RBBP5,cr,CMTi-1,Embryonic Stem Cell,Embryo,1.0,RBBP5
44215|NCOA2,0.4228106198008493,Mus musculus,NCOA2,cr,,Epithelium,Hindbrain,1.0,NCOA2
8305|RCOR1,0.42503437213382894,Mus musculus,RCOR1,both predicted transcription factor and chromatin regulator,V6.5,Embryonic Stem Cell,Embryo,1.0,RCOR1
5372|SS18,0.4291350957136944,Mus musculus,SS18,not sure,C2C12,Myoblast,Muscle,1.0,SS18
2855|KDM2A,0.43334983098854507,Mus musculus,KDM2A,cr,V6.5,Embryonic Stem Cell,Embryo,1.0,KDM2A
46468|USF2,0.4471778967374644,Mus musculus,USF2,tf,MEL,Erythroid Progenitor Cell,Blood,1.0,USF2
56133|RBFOX2,0.4535993379963813,Mus musculus,RBFOX2,other,,,Heart,1.0,RBFOX2
44547|NUP98PHF23,0.4562428844253639,Mus musculus,NUP98PHF23,other,961C,,Blood,0.0,NUP98PHF23
39355|ESRRA,0.4604622312591492,Mus musculus,ESRRA,tf,,Epithelium,Liver,1.0,ESRRA
51887|PRDM16,0.4661904080052451,Mus musculus,PRDM16,tf,,,Adipose,1.0,PRDM16
33444|LDB1,0.4705270624582513,Mus musculus,LDB1,not sure,,,Bone Marrow,1.0,LDB1
44628|TEAD2,0.4826938492240519,Mus musculus,TEAD2,tf,Py2T,Epithelium,Mammary Gland,1.0,TEAD2
