,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
32892|IKZF1,0.005697924826349454,Mus musculus,IKZF1,tf,B3,B Lymphocyte,Blood,0.0,IKZF1
37887|HIF1A,0.005710694477821798,Mus musculus,HIF1A,predicted chromatin regulator,,Dendritic Cell,Bone Marrow,1.0,HIF1A
51961|ZIC3,0.005715313056355142,Mus musculus,ZIC3,tf,,Embryonic Stem Cell,,1.0,ZIC3
38466|CBFB,0.00573176780803919,Mus musculus,CBFB,predicted transcription factor,,T Lymphocyte,Blood,1.0,CBFB
44847|BIRA,0.005732417782051302,Mus musculus,BIRA,not sure,MEL,Erythroid Progenitor Cell,Blood,1.0,BIRA
41753|ASH1L,0.005733189743144573,Mus musculus,ASH1L,cr,,Embryonic Stem Cell,Embryo,1.0,ASH1L
33045|SRSF1,0.005743764781283689,Mus musculus,SRSF1,other,,Embryonic Fibroblast,Embryo,0.0,SRSF1
33050|SRSF2,0.005752645268027878,Mus musculus,SRSF2,other,,Embryonic Fibroblast,Embryo,0.0,SRSF2
49288|RAD21,0.00576536505296249,Mus musculus,RAD21,not sure,,,Intestinal Crypt,0.0,RAD21
9258|TCF7L1,0.005804524424693647,Mus musculus,TCF7L1,tf,,Myoblast,Skeletal Muscle,0.0,TCF7L1
43674|CRY1,0.0058419020735407945,Mus musculus,CRY1,not sure,,,Liver,1.0,CRY1
8938|PAX5,0.0058808531659288454,Mus musculus,PAX5,tf,,B Lymphocyte,Lymph Node,0.0,PAX5
52438|SIRT1,0.005882749990360758,Mus musculus,SIRT1,cr,,,Bone Marrow,1.0,SIRT1
3033|MLLT3,0.005955941770559747,Mus musculus,MLLT3,not sure,,Leukemic Blast Cell,Bone Marrow,1.0,MLLT3
49164|SUV39H1,0.005979092216350956,Mus musculus,SUV39H1,cr,,Neural Progenitor Cell,,1.0,SUV39H1
57703|TET3,0.0059961705540876875,Mus musculus,TET3,cr,J1,Embryonic Stem Cell,Embryo,1.0,TET3
48539|ZBTB17,0.006012760978043097,Mus musculus,ZBTB17,tf,,Fibroblast,Embryo,1.0,ZBTB17
33118|KDM5A,0.006030454735334978,Mus musculus,KDM5A,cr,,Embryonic Stem Cell,Embryo,1.0,KDM5A
34005|LHX3,0.0060312943766359095,Mus musculus,LHX3,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,LHX3
52905|MEF2C,0.006039487310137925,Mus musculus,MEF2C,predicted transcription factor,,Cortical Neuron,,1.0,MEF2C
44165|ELK4,0.006090240995107299,Mus musculus,ELK4,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK4
39306|NCAPD3,0.006110911591891921,Mus musculus,NCAPD3,predicted chromatin regulator,V6.5,Embryonic Stem Cell,Embryo,1.0,NCAPD3
37787|CRY2,0.006125240620578787,Mus musculus,CRY2,not sure,,Epithelium,Liver,0.0,CRY2
41940|HIRA,0.006130821773456363,Mus musculus,HIRA,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,HIRA
56273|AEBP2,0.006134872965482485,Mus musculus,AEBP2,tf,,,Thymus,0.0,AEBP2
41359|PHF20,0.006154046749832054,Mus musculus,PHF20,cr,,Neural Progenitor Cell,,1.0,PHF20
56092|BAZ1A,0.006157023982089782,Mus musculus,BAZ1A,cr,,,Nucleus Accumben,1.0,BAZ1A
44160|ELK1,0.0061571548335333515,Mus musculus,ELK1,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK1
52982|ARID1A,0.006177983976245305,Mus musculus,ARID1A,predicted transcription factor,,Adipocyte,,1.0,ARID1A
52238|RUVBL1,0.006188844504095403,Mus musculus,RUVBL1,cr,,Embryonic Stem Cell,,0.0,RUVBL1
34088|HIST1H1D,0.006234387480066772,Mus musculus,HIST1H1D,cr,,Embryonic Stem Cell,Embryo,1.0,HIST1H1D
