,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
38372|STAT6,0.91484651360321,Mus musculus,STAT6,tf,,Macrophage,Bone Marrow,1.0,STAT6
52659|PKNOX1,0.920082474571624,Mus musculus,PKNOX1,tf,,Embryonic Stem Cell,,1.0,PKNOX1
49710|FOXL2,0.9252185978671328,Mus musculus,FOXL2,tf,,Follicular  cell,Ovary,1.0,FOXL2
48081|CBX8,0.9285871827397272,Mus musculus,CBX8,cr,E14,Embryonic Stem Cell,Embryo,1.0,CBX8
46400|NELFE,0.9403290010774704,Mus musculus,NELFE,not sure,CH12,Lymphoblastoid,Blood,1.0,NELFE
41637|POLR3GL,0.9411819799390782,Mus musculus,POLR3GL,tf,,Epithelium,Liver,1.0,POLR3GL
59362|CSTF3,0.9424827085346648,Mus musculus,CSTF3,other,S194,B Lymphocyte,,1.0,CSTF3
37898|E2F4,0.9426801164506502,Mus musculus,E2F4,tf,,Dendritic Cell,Bone Marrow,1.0,E2F4
52238|RUVBL1,0.9447588455946079,Mus musculus,RUVBL1,cr,,Embryonic Stem Cell,,0.0,RUVBL1
46411|MAZ,0.946382544132713,Mus musculus,MAZ,tf,CH12,Lymphoblastoid,Blood,1.0,MAZ
3244|ERCC3,0.957939043920224,Mus musculus,ERCC3,predicted chromatin regulator,,T Lymphocyte,Blood,1.0,ERCC3
"35263|PKNOX1, PKNOX2",0.9588241856805984,Mus musculus,"PKNOX1, PKNOX2",tf,,,Embryo Trunk,1.0,"PKNOX1, PKNOX2"
41635|POLR3G,0.9595414064247588,Mus musculus,POLR3G,tf,,Epithelium,Liver,1.0,POLR3G
34433|MXI1,0.9646673510152256,Mus musculus,MXI1,tf,C2C12,Myoblast,Muscle,1.0,MXI1
56036|RFX3,0.9648576852137006,Mus musculus,RFX3,predicted transcription factor,MIN6,Beta cell,,1.0,RFX3
48959|NUCKS1,0.9653078615400144,Mus musculus,NUCKS1,predicted transcription factor,,Hepatocyte,,1.0,NUCKS1
451|SMAD2,0.9662597179272964,Mus musculus,SMAD2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0,SMAD2
46398|CHD2,0.9673443037838202,Mus musculus,CHD2,cr,CH12,Lymphoblastoid,Blood,1.0,CHD2
39702|IRF3,0.9676002368124612,Mus musculus,IRF3,tf,,Macrophage,Bone Marrow,1.0,IRF3
35550|SP1,0.9685770250239368,Mus musculus,SP1,predicted chromatin regulator,TSC,Trophoblast Stem Cell,Embryo,1.0,SP1
44412|POLR2B,0.9741250279400292,Mus musculus,POLR2B,tf,,Epithelium,Liver,1.0,POLR2B
52224|SMAD4,0.974566712454498,Mus musculus,SMAD4,predicted transcription factor,,,Lung,1.0,SMAD4
37004|BACH2,0.9749173597084159,Mus musculus,BACH2,tf,,T Lymphocyte,Blood,1.0,BACH2
39349|MTOR,0.9781664352802169,Mus musculus,MTOR,other,,Epithelium,Liver,1.0,MTOR
41336|SUPT5H,0.9794150861194134,Mus musculus,SUPT5H,tf,,Embryonic Stem Cell,Embryo,1.0,SUPT5H
36769|ZNF143,0.9822456933668404,Mus musculus,ZNF143,predicted transcription factor,J1,Embryonic Stem Cell,Embryo,1.0,ZNF143
33052|HEXIM1,0.9840079850720408,Mus musculus,HEXIM1,other,,Embryonic Fibroblast,Embryo,0.0,HEXIM1
41427|ZNF322A,0.9846536231331598,Mus musculus,ZNF322A,tf,E14,Embryonic Stem Cell,Embryo,1.0,ZNF322A
42959|PARP14,0.9877062820526651,Mus musculus,PARP14,not sure,,T Lymphocyte,Blood,1.0,PARP14
39306|NCAPD3,0.9879862071887254,Mus musculus,NCAPD3,predicted chromatin regulator,V6.5,Embryonic Stem Cell,Embryo,1.0,NCAPD3
46413|HCFC1,0.9881803684395654,Mus musculus,HCFC1,tf,CH12,Lymphoblastoid,Blood,1.0,HCFC1
47612|MCRS1,0.9924408244554704,Mus musculus,MCRS1,cr,WT26,Embryonic Stem Cell,Embryo,1.0,MCRS1
48954|REPIN1,0.9931252662747628,Mus musculus,REPIN1,predicted transcription factor,,T Lymphocyte,,1.0,REPIN1
34641|MYBL1,0.9933575826200332,Mus musculus,MYBL1,tf,,,Testis,0.0,MYBL1
44266|MITF,0.9940085272194455,Mus musculus,MITF,tf,,Mast Cell,Bone Marrow,0.0,MITF
57122|IKZF2,0.9949751765329444,Mus musculus,IKZF2,tf,,T Lymphocyte,,1.0,IKZF2
3294|GTF2E2,0.9957346937092916,Mus musculus,GTF2E2,tf,,T Lymphocyte,Blood,1.0,GTF2E2
36909|ERF,0.9957749500808464,Mus musculus,ERF,tf,,Embryonic Fibroblast,,1.0,ERF
52074|SATB1,0.9960697380908232,Mus musculus,SATB1,tf,,Thymocyte,Thymus,1.0,SATB1
49496|CDK7,0.998460302278764,Mus musculus,CDK7,predicted transcription factor,V6.5,Embryonic Stem Cell,Embryo,1.0,CDK7
48098|TNFSF11,0.9985551397909872,Mus musculus,TNFSF11,other,RAW264.7,Macrophage,,1.0,TNFSF11
43179|ASH2L,0.9987526337285012,Mus musculus,ASH2L,cr,E14,Embryonic Stem Cell,Embryo,1.0,ASH2L
