,0
MC00342|YY1,0.2639155992624114
MS00295|Atf4,0.2719139547937305
MS00524|Hoxd9,0.27294716004068476
UP00418|Etv6,0.27302902084614167
MS00589|PDX1,0.2734815004375253
MS00505|HOXC13,0.2739090769395616
M01305|TEF,0.2740052048508288
UP00119|Nkx2-9,0.2761914797442822
MS00756|E2F7,0.27642305726213157
MC00372|Yy1,0.2766530855466234
MS00421|Barhl1,0.280601143278767
UP00114|Homez,0.2821656933555375
MS00106|NFAT5,0.28236674937841605
MC00121|Cebpb,0.28288746391106884
UP00213|HOXA9,0.283678773680602
UP00128|POU3F2,0.28480269951275644
MS00371|FOXK1,0.2849396763050397
MS00019|ETV5,0.28503830816643316
MC00395|Sfpi1,0.28578133878659917
MC00180|Sfpi1,0.28578133878659917
MC00506|Spi1,0.28578133878659917
MS00425|CDX1,0.28804816832358515
M00222|TCF3,0.288753610070257
MS00555|MIXL1,0.29103436517381376
MS00692|RXRB,0.2934808353658675
M01119|ZBTB33,0.2940805250054194
MS00040|SPIC,0.2994685210055216
UP00045|MAFB,0.30171344355602736
UP00071|Sox21,0.30441988165571277
MS00800|Sox1,0.3067133804332269
UP00158|POU1F1,0.3067498804111135
M01123|NANOG,0.30752704334792647
UP00080|Gata5,0.3082567750677699
MS00251|BHLHE41,0.30836365907402574
MS00503|HOXC12,0.30912918220201036
M00405|MEF2A,0.31031380696133753
M00979|PAX6,0.3104951703302774
MS00011|BCL6B,0.3112842756858203
MS00718|Tp53,0.3144221946155048
MC00122|Cebpa,0.31949293609917107
M00220|SREBF1,0.31955389907315035
MS00653|NR2E1,0.3204644749171277
M01195|TBX22,0.32218189620165516
MC00227|IRF4,0.3278173709700204
MC00326|Gata3,0.32971027260420976
MS00084|MEIS3,0.3328669297659409
MS00216|TBX5,0.33440919922999524
MC00368|Hsf1,0.3384695067132053
MC00505|POLR2B,0.339944520006314
UP00243|Isx,0.3422660426148953
MS00097|MYBL1,0.34407667400336867
MS00414|BARHL2,0.3449372825997033
UP00055|HBP1,0.34536832657932437
MC00273|CEBPA,0.3457389564607135
UP00000|SMAD3,0.34651859375218363
MS00419|BSX,0.346544730977854
MS00700|Rarb,0.3466939707838548
MS00686|RORA,0.3480090868700212
MS00556|GRHL1,0.3490307997511089
MS00055|HOMEZ,0.35202903978112104
MS00730|ZNF435,0.35252165856709144
MC00347|STAT4,0.35448215773807196
M01300|HMGA2,0.35450138907321865
MS00748|SOX14,0.3561360003847984
M01112|RBPJ,0.3586353334681579
MS00141|POU3F2,0.36003036530083615
MS00535|LBX2,0.36550794378249724
UP00132|Evx2,0.3660813124952628
MS00834|ELF4,0.36906593518508846
M01453|ALX1,0.37002042297729576
MS00136|POU2F3,0.37169104891104665
M00624|DBP,0.3740994953245835
MS00126|PAX7,0.3744878643984901
M01480|Obox5,0.3748706332007304
MC00329|Srf,0.3792343715733696
MS00658|NR2F6,0.3820252583172087
MC00396|Nr3c1,0.38318647677288226
UP00144|Hoxb4,0.38412145056733393
UP00112|Gsc,0.3850038775208926
MS00446|EN1,0.3859893188090136
UP00168|Hoxd8,0.3861360355593662
M00062|IRF1,0.38765111140392394
MS00605|RAXL1,0.39111479373985863
MS00750|SOX15,0.39446003863719176
UP00117|Hoxd11,0.3981628454917531
M00420|MEIS1::HOXA9,0.40289457072080237
MS00463|GSC2,0.4063970277963953
MC00455|Cdx2,0.4065135368053254
MS00076|MEF2D,0.4076265244929127
UP00207|HOXB9,0.4129038518222945
MS00402|ALX3,0.4180105912478459
UP00221|PHOX2A,0.41866154796717925
UP00033|Zfp410,0.4189031555331687
UP00177|Hoxd12,0.4212260712069784
MC00162|LMO2,0.42177751548029974
MC00204|Stat5b,0.4228199948137088
MS00433|DMBX1,0.42384107697755324
MS00021|ETV6,0.42591364355778993
MS00611|Rhox11,0.4261890273217245
MS00324|Jdp2,0.4342578078658813
MA0130|ZNF354C,0.4343252265892522
MS00474|HMX2,0.4403612200515796
